Ref,PDF,Source,Site Name,Site Location,Ecoregion,Landmarks,Latitude,Latitude Converted,Latitude_GoogleEarth,Longitude_GoogleEarth,Chla_Instrument,Chla_Extraction,Chla_Acidification,Base,Substrate,Substrate Sub-category,NDS Category,NDS Sub-category,Orientation to surface,Starting Replicates,Days,Agar Percent,Nitrogen Molarity,Nitrogen Source,Phosphorus Molarity,Phosphorus Source,Design,Year,Season,Month,Order,Order Code,Catchment_km2,Stream Substrate,Substrate Code,Koppen 1st,Koppen full,Elevation_m,Depth_m,Velocity_m_sec,Slope_percent,Discharge_m3_sec,Turbidity_NTU,Primary Land Use,Secondary Land Use,Canopy_Percent,Canopy_Qual,Temp_C,pH,Cond_uS_cm,DO_mg_L,NH4_ug_L,NO3_ug_L,DIN_ug_L,TN_mg_L,SRP_ug_L,TP_ug_L,NO3_SRP_Ratio,Control_mean_mg_m2,Control SE,Control SD,Control Count,N_mean_mg_m2,N SE,N SD,Nitrogen Count,N Tstat,N Pval 1Tail,N Lim,N Pval 2Tail,N LRR Effect,N LRR Variance,P_mean_mg_m2,P SE,P SD,Phosphorus Count,P Tstat,P Pval 1Tail,P Lim,P Pval 2Tail,P LRR Effect,P LRR Variance,NP_mean_mg_m2,NP SE,NP SD,NP Count,NP Tstat,NP Pval 1Tail,NP Lim,NP Pval 2Tail,NP LRR,NP LRR Variance,Macroinverts Collected,Macroinverts Excluded,NDS Treatment,Independence Issues,Red Flags,Purpose,Notes,Page
Klose 2012,Yes,Web of Science 1st Searches,ST3,California,Mediterranean California,Map City Names,,,,,Fluorometer,90% Acetone,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.11,,,,,,37.8,,21.7,8.3,1123,12.89,12.6,19.3,41,0.25,14.7,58,9.1,104.4,5.3,11.85116028,5,199.1,16,35.77708764,5,-5.618520963,0.000249677,Yes,0.000499354,0.645577536,0.009035207,84,5.3,11.85116028,5,2.721694026,0.013090006,No,0.026180013,-0.217412877,0.006558225,146.8,15.9,35.55348084,5,-2.529822128,0.017632602,Yes,0.035265203,0.340841441,0.014308407,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Klose 2012,Yes,Web of Science 1st Searches,D2,California,Mediterranean California,Map City Names,,,,,Fluorometer,90% Acetone,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.05,,,,,,50.3,,23.2,7.69,1246,11.8,16.5,15.5,48.9,0.05,9.1,63.4,14.3,73.3,5.4,12.07476708,5,289.7,16.1,36.00069444,5,-12.74330911,6.77E-07,Yes,1.35E-06,1.374285296,0.008515798,34.9,2.7,6.037383539,5,6.360371135,0.000109087,No,0.000218174,-0.74207378,0.011412419,144.1,34.8,77.81516562,5,-2.010422769,0.039613129,Yes,0.079226258,0.675946894,0.063748994,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Klose 2012,Yes,Web of Science 1st Searches,ST4,California,Mediterranean California,Map City Names,,,,,Fluorometer,90% Acetone,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.17,,,,,,25.6,,25.8,8.6,1087,13.9,21.6,280.2,308.8,0.58,50.2,107,11.4,210.7,29.3,65.51679174,5,373.3,37.4,83.62894236,5,-3.422399552,0.004527908,Yes,0.009055817,0.571947065,0.029375299,101.3,8,17.88854382,5,3.601940119,0.003481327,No,0.006962654,-0.73234891,0.02557455,192,24,53.66563146,5,0.493733783,0.31738143,No,0.634762861,-0.092939949,0.03496276,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Klose 2012,Yes,Web of Science 1st Searches,ST5,California,Mediterranean California,Map City Names,,,,,Fluorometer,90% Acetone,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,19,3,0.5,NaNO3,0.5,KH2PO4,,2008,Summer,July,NA,,,,,C,Csb,,0.09,0.19,,,,,,27.3,,24.6,8.49,1021,13.1,30.2,484.1,526.7,0.81,73.1,138.4,12.3,388,22.7,50.75874309,5,417.7,36.9,82.51090837,5,-0.685544865,0.256186161,No,0.512372322,0.073758132,0.01122697,297.3,14.2,31.75216528,5,3.38741893,0.00476816,No,0.009536321,-0.26626361,0.005704177,366.8,70.9,158.5372196,5,0.284772916,0.391525462,No,0.783050923,-0.056188599,0.040785171,No,Yes,Land Use Gradient,Yes,Yes,"Effects of dissolved oxygen and development on algae, in chaparrel climate","Some sites look pretty close to each other; unclear which were estuaries but excluded the two labeled as ""estuary"" ",
Lang 2012,Yes,Web of Science 1st Searches,LEON-01,Texas,Great Plains,Map,,,,,Spectrophotometer,90% Ethanol,,Centrifuge Tube,Glass disc,Glass disc,Vial,Vial,Parallel,10,18,2,0.5,NaNO3,0.05,Na2HPO4,Trt separated,,NA,,NA,,,,,C,Cfa,,,0.01,,,,,,,Open,16.1,,,,,299.5,,0.72,2.2,40.1,,21.9,3.8,12.01665511,10,55,4.9,15.49516053,10,-5.338015393,2.25E-05,Yes,4.49E-05,0.920846548,0.038044986,25.2,2.9,9.170605214,10,-0.690352398,0.249389177,No,0.498778354,0.140357358,0.043351056,121.4,6,18.97366596,10,-14.00991634,2.01E-11,Yes,4.02E-11,1.712604242,0.032550468,No,No,Nutrient Gradient ,No,No,NDS along nutrient gradient to examine chla and enzymatic responses,Canopy inferred to be open from high mmol PAR readings ,
Lang 2012,Yes,Web of Science 1st Searches,NBOS-04,Texas,Great Plains,Map,,,,,Spectrophotometer,90% Ethanol,,Centrifuge Tube,Glass disc,Glass disc,Vial,Vial,Parallel,10,18,2,0.5,NaNO3,0.05,Na2HPO4,Trt separated,,NA,,NA,,,,,C,Cfa,,,0.01,,,,,,,Open,17.5,,,,,5.1,,0.37,0.5,24.2,,8.3,0.6,1.897366596,10,58.6,6,18.97366596,10,-8.341728445,6.72E-08,Yes,1.34E-07,1.954479182,0.015709246,18.5,1.1,3.478505426,10,-8.140486222,9.55E-08,Yes,1.91E-07,0.801515217,0.008761149,122.4,11.7,36.99864862,10,-9.739338668,6.69E-09,Yes,1.34E-08,2.691038855,0.014362833,No,No,Nutrient Gradient ,No,No,NDS along nutrient gradient to examine chla and enzymatic responses,Canopy inferred to be open from high mmol PAR readings ,
Lang 2012,Yes,Web of Science 1st Searches,PALU-01,Texas,Great Plains,Map,,,,,Spectrophotometer,90% Ethanol,,Centrifuge Tube,Glass disc,Glass disc,Vial,Vial,Parallel,10,18,2,0.5,NaNO3,0.05,Na2HPO4,Trt separated,,NA,,NA,,,,,C,Cfa,,,0.01,,,,,,,Open,16.5,,,,,5.7,,0.28,0.5,13.7,,3.5,1.2,3.794733192,10,8.5,1.1,3.478505426,10,-3.071475584,0.003288417,Yes,0.006576834,0.887303195,0.134298425,4.8,0.3,0.948683298,10,-1.050987709,0.153585154,No,0.307170307,0.315852949,0.12145727,32.1,2.9,9.170605214,10,-9.112717727,1.83E-08,Yes,3.66E-08,2.216093062,0.12571282,No,No,Nutrient Gradient ,No,No,NDS along nutrient gradient to examine chla and enzymatic responses,Canopy inferred to be open from high mmol PAR readings ,
Lang 2012,Yes,Web of Science 1st Searches,LEON-02,Texas,Great Plains,Map,,,,,Spectrophotometer,90% Ethanol,,Centrifuge Tube,Glass disc,Glass disc,Vial,Vial,Parallel,10,18,2,0.5,NaNO3,0.05,Na2HPO4,Trt separated,,NA,,NA,,,,,C,Cfa,,,0.01,,,,,,,Open,16,,,,,4460.5,,6.52,1720.5,2402.5,,140.3,23.5,74.31352501,10,166.5,7.5,23.71708245,10,-1.062113674,0.151113589,No,0.302227178,0.171212322,0.030084709,77.6,6.7,21.18726032,10,2.565839337,0.009722228,No,0.019444455,-0.59221556,0.035510284,48.7,7.8,24.66576575,10,3.699417592,0.000820393,No,0.001640786,-1.058103957,0.053708247,No,No,Nutrient Gradient ,No,No,NDS along nutrient gradient to examine chla and enzymatic responses,Canopy inferred to be open from high mmol PAR readings ,
Lourenco-Amorim 2014,Yes,Web of Science 1st Searches,Corrego,Brazil,NA,,23.10.989',23.183333,,,Fluorometer,90% Ethanol,,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,15,15,2,0.5,NaNO3,0.5,KH2PO4,Randomized block,2012,Fall,March,3-Jan,Small,,,,C,Cwa,,,,,,,Forest,,7.8,,,,,,,,,,,,,16.8,1.6,6.196773354,15,21.8,2.9,11.2316517,15,-1.509616697,0.071172211,No,0.142344423,0.260531083,0.026766617,15.7,1.5,5.809475019,15,0.501556828,0.309950113,No,0.619900226,-0.067718174,0.018198454,23.2,4.2,16.26653005,15,-1.423981311,0.082750739,No,0.165501479,0.322773392,0.041843779,No,No,Grazer treatments ,No,No,Top down vs. bottom up effects; also had grazer exclusions trts,,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 3,Oklahoma,Great Plains,Northcentral,36.19.557',36.333333,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,1174.4,,,C,Cfa,,,,,,,Pasture,Crops,,,,,,,40,40,,,70,150,,5.74,0.379473319,1.2,10,13.55,1.170042734,3.7,10,-6.349383658,2.78E-06,Yes,5.55E-06,0.858927337,0.011826902,5.83,0.347850543,1.1,10,-0.174831455,0.431581791,No,0.863163581,0.01555779,0.007930562,32.88,0.4,1.2,9,-49.22356357,4.43E-20,Yes,8.87E-20,1.74540536,0.004518574,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 7,Oklahoma,Great Plains,Northcentral,36.18.166',36.3,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,172.6,,,C,Cfa,,,,,,,Pasture,Forest,,,,,,,40,20,,,20,70,,3.87,0.466666667,1.4,9,15.06,1.555634919,4.4,8,-6.889869307,2.57E-06,Yes,5.15E-06,1.358787715,0.025210936,5.11,0.379473319,1.2,10,-2.061582608,0.027440135,Yes,0.054880269,0.277944897,0.020055596,34.37,2.782804341,8.8,10,-10.80923138,2.45E-09,Yes,4.89E-09,2.183929584,0.021096418,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 5,Oklahoma,Great Plains,Northcentral,36.20.443',36.333333,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,1352,,,C,Cfa,,,,,,,Pasture,Crops,,,,,,,40,20,,,60,160,,4.06,0.284604989,0.9,10,28.54,3.35201432,10.6,10,-7.276889087,4.60E-07,Yes,9.19E-07,1.950123638,0.018708406,2.61,0.266666667,0.8,9,3.717812925,0.000855191,No,0.001710382,-0.441832752,0.015352916,30.51,4.333333333,13,9,-6.090723788,6.00E-06,Yes,1.20E-05,2.016871525,0.025086478,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 4,Oklahoma,Great Plains,Northcentral,36.19.136',36.316667,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,1314.4,,,C,Cfa,,,,,,,Pasture,Crops,,,,,,,40,90,,,90,180,,3.44,0.474341649,1.5,10,16.45,2.846049894,9,10,-4.509051291,0.000135763,Yes,0.000271525,1.564854006,0.048946861,3.53,0.411096096,1.3,10,-0.143381922,0.443790754,No,0.887581508,0.0258264,0.032576079,14.32,2.308462692,7.3,10,-4.616639442,0.000107134,Yes,0.000214267,1.42618569,0.045000868,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 1,Oklahoma,Great Plains,Northcentral,36.18.630',36.316667,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,959.9,,,C,Cfa,,,,,,,Pasture,Crops,,,,,,,40,160,,,130,320,,9.34,0.831521841,2.2,7,12.29,0.85732141,2.1,6,-2.470000274,0.015560715,Yes,0.031121431,0.274479671,0.012792119,10.96,0.379473319,1.2,10,-1.772394332,0.048316718,Yes,0.096633435,0.159946029,0.009124776,12.28,1.247282761,3.3,7,-1.961245631,0.036736264,Yes,0.073472529,0.27366567,0.018242508,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 9,Oklahoma,Great Plains,Northcentral,36.22.444',36.366667,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,1667.7,,,C,Cfa,,,,,,,Pasture,Crops,,,,,,,40,20,,,80,170,,3.06,0.284604989,0.9,10,3.29,0.466666667,1.4,9,-0.420778644,0.339594035,No,0.679188071,0.072472649,0.028770231,3.16,0.158113883,0.5,10,-0.307147558,0.381128086,No,0.762256172,0.032157112,0.011154124,3.65,0.286666667,0.86,9,-1.460567069,0.081184871,No,0.162369742,0.176312252,0.014818864,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 6,Oklahoma,Great Plains,Northcentral,36.20.134',36.333333,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,1411.6,,,C,Cfa,,,,,,,Pasture,Crops,,,,,,,360,320,,,180,270,,22.86,3.4,10.2,9,25.21,3.433333333,10.3,9,-0.486345707,0.316658172,No,0.633316344,0.097852083,0.040668569,17.39,1.555634919,4.4,8,1.462964341,0.082057295,No,0.16411459,-0.27349333,0.030123357,31.02,4.964775926,15.7,10,-1.356069329,0.096408578,No,0.192817156,0.305243499,0.047737292,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 2,Oklahoma,Great Plains,Northcentral,36.17.404',36.283333,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,45,,,C,Cfa,,,,,,,Pasture,Crops,,,,,,,40,10,,,10,60,,2.65,0.196061215,0.62,10,3.13,0.252982213,0.8,10,-1.499707117,0.075512872,No,0.151025744,0.166473365,0.012006513,2.71,0.221359436,0.7,10,-0.202906601,0.420742005,No,0.84148401,0.022388995,0.012145857,2.97,0.24349538,0.77,10,-1.023613556,0.159789348,No,0.319578695,0.114002313,0.01219537,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 8,Oklahoma,Great Plains,Northcentral,36.23.347',36.383333,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,33.9,,,C,Cfa,,,,,,,Pasture,Forest,,,,,,,60,50,,,80,160,,2.68,0.347850543,1.1,10,3.49,0.3,0.9,9,-1.763371394,0.047900882,Yes,0.095801764,0.264084942,0.024235838,2.75,0.316227766,1,10,-0.14890247,0.44164307,No,0.883286139,0.025784117,0.030069877,3.35,0.565685425,1.6,8,-1.008917158,0.164014829,No,0.328029657,0.223143551,0.045360882,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Ludwig 2008,Yes,Web of Science 1st Searches,Ludwig 08 10,Oklahoma,Great Plains,Northcentral,36.24.346',36.4,,,NA,NA,NA,Plastic bottle,Filter,Filter,Periphytometer,Periphytometer,Perpendicular,10,14,,0.000322,NaNO3,0.000023,Na2HPO4,Randomized block,2004,Fall,"September, October",2 or 3,Small,1711.8,,,C,Cfa,,,,,,,Pasture,Crops,,,,,,,80,40,,,60,180,,12.32,1.517893277,4.8,10,11.55,1.9,5.7,9,0.316628545,0.377690236,No,0.755380471,-0.064538521,0.042240588,12.65,2.498199352,7.9,10,-0.112890633,0.455683387,No,0.911366773,0.026433257,0.054180391,11.8,2.8,8.4,9,0.163267117,0.436116657,No,0.872233313,-0.043124427,0.071485285,No,Yes,"Land Use, Nutrient Gradient",No,No,Interested in land use/ nutrient gradient, N+P only had 0.03M Phosphorus; 3% agar; converted sd to SE,
Marcarelli 2007,Yes,Web of Science 1st Searches,ST Inlet,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,45,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,39,,,D,Dsb,1993,0.21,0.56,,0.99,,,,70,,10.3,,,,,27.6,,0.048,,7,6.9,14,2,4.472135955,5,14,2,4.472135955,5,0,0.5,No,1,0,0.040816327,25,2,4,4,-3.889087297,0.002991215,Yes,0.005982429,0.579818495,0.026808163,68,2,4.472135955,5,-19.09188309,2.93E-08,Yes,5.87E-08,1.580450376,0.021273215,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,BT Above,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,21,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,11.7,,,D,Dsb,2179,0.21,0.63,,0.23,,,,67,,6.4,,,,,6.3,,0.04,,11,3.5,22,6,13.41640786,5,43,2,4.472135955,5,-3.320391544,0.005266967,Yes,0.010533934,0.670157662,0.076543497,23,2,4.472135955,5,-0.158113883,0.439142651,No,0.878285302,0.044451763,0.081941602,100,2,4.472135955,5,-12.33288288,8.70E-07,Yes,1.74E-06,1.514127733,0.074780165,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB Toxaway S,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2548,0.21,0.21,,0.18,,,,9,,11.2,,,,,72.5,,0.082,,7,11.6,5,0.01,0.01,5,9,2,4.472135955,5,-1.999995,0.040258431,Yes,0.080516862,0.587786665,0.049383516,8,1,2.236067977,5,-2.999970001,0.008536231,Yes,0.017072462,0.470003629,0.0156258,33,3,6.708203932,5,-9.333322964,7.09E-06,Yes,1.42E-05,1.887069649,0.008265263,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,BT Out 1,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,21,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,11.7,,,D,Dsb,2108,0.21,0.13,,0.42,,,,5,,17.3,,,,,1.5,,0.109,,12,9.5,33,6,10.39230485,3,31,5,8.660254038,3,0.25607376,0.405262002,No,0.810524004,-0.062520357,0.059072419,24,4,6.92820323,3,1.248075441,0.140036638,No,0.280073275,-0.318453731,0.060835629,172,4,6.92820323,3,-19.27583181,2.13E-05,Yes,4.27E-05,1.650986915,0.033598684,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB Farley Out,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2359,0.21,0.83,,1.33,,,,47,,17,,,,,38.3,,0.072,,9,8.4,10,1,2,4,8,2,4,4,0.894427191,0.202770402,No,0.405540804,-0.223143551,0.0725,14,1,1.732050808,3,-2.828427124,0.018371299,Yes,0.036742598,0.336472237,0.015102041,48,4,8,4,-9.216353751,4.60E-05,Yes,9.21E-05,1.568615918,0.016944444,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,ST Above,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,45,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,39,,,D,Dsb,2161,0.21,0.59,,0.32,,,,70,,10,,,,,12.8,,0.04,,6,6.4,10,3,6,4,13,4,8.94427191,5,-0.6,0.283706748,No,0.567413497,0.262364264,0.184674556,21,5,11.18033989,5,-1.886484436,0.05059847,No,0.10119694,0.741937345,0.146689342,77,10,22.36067977,5,-6.417436112,0.000180623,Yes,0.000361246,2.041220329,0.106866251,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,BT Out 5,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,21,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,11.7,,,D,Dsb,2099,0.21,0.35,,0.51,,,,9,,14.8,,,,,6.3,,0.078,,12,6.8,17,3,6.708203932,5,24,3,6.708203932,5,-1.649915823,0.068784266,No,0.137568533,0.344840486,0.046766869,59,5,11.18033989,5,-7.202940575,4.61E-05,Yes,9.22E-05,1.2443241,0.038323713,166,28,62.60990337,5,-5.291145141,0.00036811,Yes,0.00073622,2.278774444,0.059593023,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,BT Inlet,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,21,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,11.7,,,D,Dsb,2111,0.21,0.72,,0.36,,,,5,,7.1,,,,,12.7,,0.03,,10,3.4,11,2,4.472135955,5,27,8,17.88854382,5,-1.940285,0.044153714,Yes,0.088307428,0.897941593,0.120849346,16,4,8.94427191,5,-1.118033989,0.147999652,No,0.295999305,0.374693449,0.095557851,135,25,55.90169944,5,-4.944203781,0.00056454,Yes,0.001129079,2.507379506,0.067351404,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,BT Out 3,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,21,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,11.7,,,D,Dsb,2102,0.21,0.31,,0.36,,,,3,,14.8,,,,,4.9,,0.097,,12,8.3,39,6,13.41640786,5,55,21,46.95742753,5,-0.732589674,0.242358412,No,0.484716824,0.343771539,0.169453763,45,8,17.88854382,5,-0.6,0.282555029,No,0.565110058,0.143100844,0.055273577,218,37,82.73451517,5,-4.77545623,0.000699396,Yes,0.001398792,1.720933417,0.052475137,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Some sites are closer than 1km; depth is averaged from a provided range,
Marcarelli 2007,Yes,Web of Science 1st Searches,YB In,Idaho,Northwestern Forested Mountains,Lat Long,44.10',44.166667,,,Fluorometer,95% Ethanol,No,Plastic vial,Glass disc,Glass disc,Vial,Vial,Parallel,5,41,,0.58,NaNO3,0.036,KH2PO4,Block ,2002,Summer,August,NA,,30,,,D,Dsb,2158,0.21,0.62,,0.78,,,,46,,14.9,,,,,34.9,,0.073,,10,7.7,13,2,4.472135955,5,11,2,4.472135955,5,0.707106781,0.249787947,No,0.499575894,-0.167054085,0.05672649,32,4,8.94427191,5,-4.248529157,0.001402377,Yes,0.002804753,0.900786545,0.039293639,114,22,49.1934955,5,-4.572055176,0.000910437,Yes,0.001820874,2.171249091,0.060910867,No,No,Longitudinal placement ,Yes,No,"Lake inlet vs. outlet longitudinal comparison of chla, n-fixation",Agar replaced halfway through; Some sites are closer than 1km; depth is averaged from a provided range,
